Soil_Moisture,Temperature,Humidity,pH,Light,Rain_digital,Rain_analog,crop_type,action
374,30.54,36.8,7.29,20,815,898,maize,Irrigate
450,22.7,35.85,6.21,299,799,943,wheat,Irrigate
442,28.0,43.34,7.83,138,816,766,wheat,Irrigate
414,23.05,51.32,6.86,264,983,687,maize,Irrigate
473,32.86,43.58,7.02,287,938,1010,rice,Irrigate
301,24.12,38.13,6.83,38,863,670,wheat,Irrigate
466,31.32,52.24,6.02,221,810,760,wheat,Irrigate
407,24.77,46.81,6.71,128,724,648,wheat,Irrigate
355,34.29,43.06,6.64,370,951,1009,maize,Irrigate
370,24.01,31.91,6.7,115,804,1014,wheat,Irrigate
436,31.53,54.39,6.0,128,871,847,maize,Irrigate
335,36.3,57.5,6.84,378,843,786,maize,Irrigate
442,24.21,33.45,6.99,154,1023,971,maize,Irrigate
445,32.82,51.34,6.4,175,894,895,wheat,Irrigate
463,26.47,44.3,7.05,291,1022,809,maize,Irrigate
447,22.25,59.12,7.58,8,823,788,rice,Irrigate
482,30.49,46.11,6.83,92,918,937,wheat,Irrigate
405,32.64,51.08,6.86,179,1023,721,wheat,Irrigate
295,30.47,54.12,6.79,330,1023,684,wheat,Irrigate
322,33.53,44.35,7.32,91,998,886,wheat,Irrigate
358,35.23,32.89,6.6,354,923,791,wheat,Irrigate
344,32.63,57.14,7.61,420,828,716,maize,Irrigate
349,26.82,47.81,6.32,196,837,822,maize,Irrigate
319,30.41,35.14,7.34,203,731,730,wheat,Irrigate
313,27.09,30.92,6.49,114,816,898,maize,Irrigate
396,29.66,37.43,7.33,200,893,709,wheat,Irrigate
387,22.07,38.74,7.45,209,857,999,maize,Irrigate
408,21.6,43.07,7.27,97,848,727,maize,Irrigate
491,30.1,42.46,6.75,94,791,927,maize,Irrigate
319,24.09,50.65,6.79,95,1006,863,maize,Irrigate
451,23.29,51.68,7.56,188,885,771,rice,Irrigate
366,20.58,59.69,7.09,356,1023,917,wheat,Irrigate
354,27.78,51.14,6.97,90,1019,792,rice,Irrigate
482,28.77,44.7,7.62,249,861,798,maize,Irrigate
425,31.91,52.79,6.59,179,1013,814,rice,Irrigate
422,27.2,39.32,7.09,183,821,663,wheat,Irrigate
406,30.96,51.95,6.82,192,879,918,wheat,Irrigate
443,29.71,60.24,6.8,243,918,778,maize,Irrigate
312,32.86,44.04,6.71,7,1010,897,rice,Irrigate
406,25.26,41.98,7.04,259,876,801,rice,Irrigate
415,22.2,44.33,7.46,154,969,949,rice,Irrigate
470,20.32,33.13,7.41,209,848,823,wheat,Irrigate
397,22.85,38.9,6.48,388,834,784,wheat,Irrigate
373,35.0,33.65,7.52,113,927,925,rice,Irrigate
390,26.82,45.06,7.12,333,963,693,wheat,Irrigate
356,34.83,44.6,6.68,229,875,878,wheat,Irrigate
404,24.03,55.02,6.67,86,880,702,rice,Irrigate
285,23.05,41.7,6.86,279,930,695,wheat,Irrigate
363,31.25,53.81,6.46,215,771,767,rice,Irrigate
416,29.91,55.54,6.78,215,787,935,rice,Irrigate
437,21.75,57.19,7.14,67,953,775,maize,Irrigate
374,24.51,39.82,6.76,209,935,945,rice,Irrigate
337,21.74,56.87,6.52,138,1007,848,wheat,Irrigate
422,23.34,36.07,6.85,186,864,903,maize,Irrigate
447,27.45,51.7,7.1,36,844,846,rice,Irrigate
396,24.77,54.87,6.72,92,933,1019,maize,Irrigate
500,22.03,53.7,7.15,79,784,652,wheat,Irrigate
472,32.81,49.72,7.03,141,910,943,rice,Irrigate
370,26.49,38.59,7.46,297,837,850,wheat,Irrigate
474,28.2,50.38,6.74,162,835,836,maize,Irrigate
417,32.45,33.27,7.23,226,883,900,rice,Irrigate
437,27.93,36.76,6.73,10,809,678,maize,Irrigate
426,29.82,48.15,6.4,318,976,1023,maize,Irrigate
330,26.31,32.77,7.28,111,939,924,rice,Irrigate
519,31.33,47.38,6.5,240,778,781,maize,Irrigate
504,23.2,46.0,6.23,344,1023,868,wheat,Irrigate
430,25.95,32.32,7.72,46,864,979,maize,Irrigate
331,32.49,47.61,6.76,340,941,817,wheat,Irrigate
400,26.15,38.73,6.7,357,838,779,wheat,Irrigate
341,21.01,55.2,6.66,102,872,995,maize,Irrigate
471,23.48,59.03,6.31,272,1023,871,wheat,Irrigate
300,24.55,40.82,7.22,372,896,1013,rice,Irrigate
380,33.83,45.51,7.29,119,1023,801,wheat,Irrigate
455,28.76,35.14,6.27,72,868,882,wheat,Irrigate
395,20.43,34.09,7.42,141,998,913,wheat,Irrigate
363,19.81,36.17,7.11,331,1023,1012,rice,Irrigate
336,27.25,48.22,7.67,72,932,919,rice,Irrigate
470,26.94,39.31,6.87,135,1023,725,rice,Irrigate
432,21.43,38.2,7.28,326,1023,759,maize,Irrigate
457,30.87,56.68,7.53,289,881,768,rice,Irrigate
472,20.46,52.77,6.81,168,928,920,wheat,Irrigate
443,26.04,44.79,6.7,131,884,838,rice,Irrigate
415,34.54,48.62,6.79,328,1023,711,rice,Irrigate
536,21.9,30.87,6.77,283,931,862,wheat,Irrigate
477,23.34,53.41,7.05,270,1023,945,maize,Irrigate
480,27.87,62.39,7.15,373,834,777,rice,Irrigate
433,23.76,34.29,6.5,244,806,914,maize,Irrigate
484,29.91,52.89,6.63,157,794,781,maize,Irrigate
356,34.12,57.39,7.14,7,1023,672,maize,Irrigate
479,21.25,38.09,7.14,82,920,792,wheat,Irrigate
309,32.63,52.51,7.36,324,892,710,maize,Irrigate
417,34.02,54.25,6.44,23,970,774,maize,Irrigate
281,30.19,57.23,6.87,200,884,947,wheat,Irrigate
495,28.51,59.53,6.47,193,863,860,maize,Irrigate
318,35.97,49.64,7.0,237,881,657,maize,Irrigate
340,33.21,31.68,7.44,278,876,1023,wheat,Irrigate
461,27.77,57.78,7.01,78,758,766,wheat,Irrigate
303,31.86,48.18,7.0,27,916,778,rice,Irrigate
442,24.65,57.97,7.27,45,769,794,rice,Irrigate
380,28.54,42.91,7.55,199,904,1023,rice,Irrigate
440,32.42,51.72,7.26,41,955,699,maize,Irrigate
387,26.75,32.86,6.78,80,860,796,maize,Irrigate
316,34.41,34.43,7.64,8,853,747,maize,Irrigate
386,20.49,56.5,7.07,318,845,699,wheat,Irrigate
434,24.93,44.35,7.32,208,1009,1023,maize,Irrigate
461,21.71,43.12,6.44,199,872,1023,rice,Irrigate
484,29.28,45.06,6.81,253,991,873,wheat,Irrigate
323,29.86,51.33,6.38,6,821,927,wheat,Irrigate
334,25.79,50.03,6.79,85,896,980,wheat,Irrigate
451,26.0,36.51,6.72,8,944,836,rice,Irrigate
309,23.73,42.18,6.9,107,1023,822,rice,Irrigate
443,19.74,59.32,6.64,281,820,891,rice,Irrigate
342,34.64,59.05,6.2,223,787,891,wheat,Irrigate
359,21.39,56.65,7.48,6,912,907,wheat,Irrigate
495,29.08,46.24,7.3,137,920,991,maize,Irrigate
380,29.49,34.43,7.25,193,1023,819,maize,Irrigate
418,32.48,55.58,6.8,72,907,951,rice,Irrigate
455,28.75,42.11,7.0,301,813,859,wheat,Irrigate
339,32.97,57.62,7.34,160,861,868,maize,Irrigate
455,27.1,57.01,6.46,364,820,750,rice,Irrigate
430,28.06,46.69,7.0,170,1016,994,rice,Irrigate
323,29.27,36.92,6.83,64,1023,985,maize,Irrigate
480,30.36,59.4,6.76,113,886,962,rice,Irrigate
359,24.28,54.84,6.33,17,836,718,wheat,Irrigate
418,32.14,36.98,6.05,271,899,875,rice,Irrigate
411,25.03,43.81,7.19,229,917,897,wheat,Irrigate
391,29.9,42.75,6.39,70,923,911,wheat,Irrigate
357,27.61,41.7,6.6,314,943,838,maize,Irrigate
491,23.21,49.93,6.57,219,982,811,maize,Irrigate
417,34.69,30.98,6.86,259,839,1023,maize,Irrigate
327,21.47,33.29,6.39,144,894,926,rice,Irrigate
529,32.14,36.35,6.95,151,863,1023,maize,Irrigate
427,31.42,33.71,6.78,13,928,798,maize,Irrigate
330,24.71,47.7,6.16,326,779,848,rice,Irrigate
311,23.5,32.2,6.93,130,844,809,maize,Irrigate
357,26.12,42.09,6.79,261,829,758,rice,Irrigate
467,23.88,32.15,6.9,234,923,1023,rice,Irrigate
475,21.25,55.96,7.1,5,884,778,wheat,Irrigate
341,27.99,52.83,6.64,423,861,656,wheat,Irrigate
522,28.93,45.66,6.75,118,884,875,maize,Irrigate
362,31.97,57.37,7.53,372,1022,881,rice,Irrigate
309,26.41,43.56,6.61,310,813,909,wheat,Irrigate
396,31.38,32.66,6.42,151,768,870,wheat,Irrigate
278,29.57,53.79,6.46,140,817,762,wheat,Irrigate
316,24.95,38.95,6.16,236,939,831,wheat,Irrigate
427,27.05,47.88,6.36,8,832,1023,maize,Irrigate
485,35.15,52.02,7.13,106,965,814,wheat,Irrigate
438,32.74,48.78,6.14,208,928,998,maize,Irrigate
328,34.79,44.69,6.27,43,1023,1023,rice,Irrigate
389,33.91,45.13,6.15,181,999,725,maize,Irrigate
326,31.3,51.76,7.18,58,1015,762,wheat,Irrigate
461,30.2,49.77,7.29,234,819,937,rice,Irrigate
345,30.14,31.22,7.01,270,908,714,rice,Irrigate
415,21.08,43.03,7.12,165,1023,714,maize,Irrigate
377,27.4,41.32,6.58,191,954,846,rice,Irrigate
491,26.01,49.44,7.28,372,969,721,maize,Irrigate
441,19.87,54.56,6.8,358,850,795,rice,Irrigate
393,32.38,48.91,6.83,115,821,897,maize,Irrigate
319,20.78,40.31,6.18,336,1023,822,wheat,Irrigate
374,27.07,30.54,6.53,225,935,786,maize,Irrigate
462,34.83,40.79,7.39,352,939,834,maize,Irrigate
366,33.35,61.09,6.48,160,901,874,wheat,Irrigate
518,27.94,51.82,7.03,91,916,961,maize,Irrigate
